clinic_id,tokens_awarded,shapley_score,volume_score,quality_score,rarity_score,n_samples,local_accuracy,local_auc,round,clinic_name
0,38.5835,0.15762,1.0,0.5447,0.1911,124,0.4062,0.6667,1,Kisumu Lakeside (Kenya)
1,32.4378,0.068722,1.0,0.4876,0.2,124,0.4688,0.4392,1,Northern Uganda Regional
2,35.7537,0.095895,1.0,0.6,0.2,124,1.0,0.5,1,Lagos Teaching Hospital (Nigeria)
3,35.7537,0.095895,1.0,0.6,0.2,124,1.0,0.5,1,Upper West Ghana District
4,33.7688,0.095895,1.0,0.4303,0.3122,124,0.4062,0.3806,1,Kigali Reference (Rwanda)
5,35.7537,0.095895,1.0,0.6,0.2,124,1.0,0.5,1,Lindi District (Tanzania)
6,35.0087,0.102396,1.0,0.5699,0.0633,124,0.75,0.5747,1,Lusaka District (Zambia)
7,35.7537,0.095895,1.0,0.6,0.2,124,1.0,0.5,1,Dakar Outpost (Senegal)
8,35.7537,0.095895,1.0,0.6,0.2,124,1.0,0.5,1,Oromia Regional (Ethiopia)
9,35.7537,0.095895,1.0,0.6,0.2,124,1.0,0.5,1,Nampula Province (Mozambique)
0,38.3412,0.155031,1.0,0.5389,0.1911,124,0.4688,0.5675,2,Kisumu Lakeside (Kenya)
1,34.9822,0.098565,1.0,0.5379,0.2,124,0.4375,0.6118,2,Northern Uganda Regional
2,36.2118,0.103531,1.0,0.6,0.2,124,1.0,0.5,2,Lagos Teaching Hospital (Nigeria)
3,36.2118,0.103531,1.0,0.6,0.2,124,1.0,0.5,2,Upper West Ghana District
4,33.8163,0.092638,1.0,0.4465,0.3122,124,0.4062,0.4211,2,Kigali Reference (Rwanda)
5,36.2118,0.103531,1.0,0.6,0.2,124,1.0,0.5,2,Lindi District (Tanzania)
6,29.912,0.032582,1.0,0.5094,0.0633,124,0.6562,0.5402,2,Lusaka District (Zambia)
7,36.2118,0.103531,1.0,0.6,0.2,124,1.0,0.5,2,Dakar Outpost (Senegal)
8,36.2118,0.103531,1.0,0.6,0.2,124,1.0,0.5,2,Oromia Regional (Ethiopia)
9,36.2118,0.103531,1.0,0.6,0.2,124,1.0,0.5,2,Nampula Province (Mozambique)
0,35.0244,0.119822,1.0,0.4586,0.1911,124,0.4375,0.4048,3,Kisumu Lakeside (Kenya)
1,34.5138,0.087022,1.0,0.5528,0.2,124,0.5,0.5725,3,Northern Uganda Regional
2,36.8243,0.113739,1.0,0.6,0.2,124,1.0,0.5,3,Lagos Teaching Hospital (Nigeria)
3,36.8243,0.113739,1.0,0.6,0.2,124,1.0,0.5,3,Upper West Ghana District
4,33.7504,0.085467,1.0,0.4708,0.3122,124,0.4062,0.4818,3,Kigali Reference (Rwanda)
5,36.8243,0.113739,1.0,0.6,0.2,124,1.0,0.5,3,Lindi District (Tanzania)
6,29.1328,-0.025257,1.0,0.5877,0.0633,124,0.8438,0.4828,3,Lusaka District (Zambia)
7,36.8243,0.113739,1.0,0.6,0.2,124,1.0,0.5,3,Dakar Outpost (Senegal)
8,36.8243,0.113739,1.0,0.6,0.2,124,1.0,0.5,3,Oromia Regional (Ethiopia)
9,36.8243,0.113739,1.0,0.6,0.2,124,1.0,0.5,3,Nampula Province (Mozambique)
0,35.4648,0.104939,1.0,0.5475,0.1911,124,0.4375,0.627,4,Kisumu Lakeside (Kenya)
1,33.852,0.074343,1.0,0.5594,0.2,124,0.5,0.5804,4,Northern Uganda Regional
2,35.7317,0.095528,1.0,0.6,0.2,124,1.0,0.5,4,Lagos Teaching Hospital (Nigeria)
3,35.7317,0.095528,1.0,0.6,0.2,124,1.0,0.5,4,Upper West Ghana District
4,37.0969,0.132335,1.0,0.5064,0.3122,124,0.4062,0.5709,4,Kigali Reference (Rwanda)
5,35.7317,0.095528,1.0,0.6,0.2,124,1.0,0.5,4,Lindi District (Tanzania)
6,35.191,0.115216,1.0,0.5308,0.0633,124,0.7188,0.5172,4,Lusaka District (Zambia)
7,35.7317,0.095528,1.0,0.6,0.2,124,1.0,0.5,4,Dakar Outpost (Senegal)
8,35.7317,0.095528,1.0,0.6,0.2,124,1.0,0.5,4,Oromia Regional (Ethiopia)
9,35.7317,0.095528,1.0,0.6,0.2,124,1.0,0.5,4,Nampula Province (Mozambique)
0,36.711,0.143566,1.0,0.4761,0.1911,124,0.4375,0.4484,5,Kisumu Lakeside (Kenya)
1,38.2401,0.154733,1.0,0.5304,0.2,124,0.5,0.5078,5,Northern Uganda Regional
2,35.7664,0.096107,1.0,0.6,0.2,124,1.0,0.5,5,Lagos Teaching Hospital (Nigeria)
3,35.7664,0.096107,1.0,0.6,0.2,124,1.0,0.5,5,Upper West Ghana District
4,33.5604,0.086753,1.0,0.453,0.3122,124,0.4062,0.4372,5,Kigali Reference (Rwanda)
5,35.7664,0.096107,1.0,0.6,0.2,124,1.0,0.5,5,Lindi District (Tanzania)
6,31.4865,0.038307,1.0,0.5914,0.0633,124,0.7812,0.5862,5,Lusaka District (Zambia)
7,35.7664,0.096107,1.0,0.6,0.2,124,1.0,0.5,5,Dakar Outpost (Senegal)
8,35.7664,0.096107,1.0,0.6,0.2,124,1.0,0.5,5,Oromia Regional (Ethiopia)
9,35.7664,0.096107,1.0,0.6,0.2,124,1.0,0.5,5,Nampula Province (Mozambique)
