sample_id,year,qc_pass,study_id,region,country,country_id,site,site_id,ARTresistant,CQresistant,MQresistant,PPQresistant,PYRresistant,SDXresistant
"QV0001-CW","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"QV0002-C","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"QV0003-CW","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","sensitive","undetermined","undetermined","resistant","resistant"
"QV0004-C","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","resistant","sensitive","sensitive","resistant","sensitive"
"QV0005-C","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","resistant","sensitive","sensitive","sensitive","sensitive"
"QV0006-CW","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","sensitive","undetermined","sensitive","resistant","resistant"
"QV0008-C","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QV0009-C","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","undetermined","sensitive","sensitive","resistant","sensitive"
"QV0010-C","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","resistant","sensitive","sensitive","resistant","sensitive"
"QV0012-CW","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","sensitive","undetermined","undetermined","resistant","undetermined"
"QV0013-C","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","sensitive","sensitive","sensitive","resistant","sensitive"
"QV0014-C","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","resistant","sensitive","sensitive","resistant","sensitive"
"QV0015-C","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","sensitive","sensitive","sensitive","resistant","sensitive"
"QV0016-C","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","sensitive","sensitive","sensitive","sensitive","sensitive"
"QV0018-C","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","resistant","sensitive","sensitive","resistant","sensitive"
"QV0019-C","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","undetermined","sensitive","sensitive","resistant","sensitive"
"QV0020-C","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"QV0021-C","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","sensitive","sensitive","sensitive","resistant","sensitive"
"QV0023-CW","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","resistant","undetermined","sensitive","resistant","resistant"
"QV0026-C","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QV0027-C","2013","false","1135","null","Senegal","SN","Dakar","Dakar","null","null","null","null","null","null"
"QV0028-C","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"QV0029-C","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","sensitive","sensitive","sensitive","resistant","sensitive"
"QV0030-C","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"QV0031-C","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","resistant","sensitive","sensitive","resistant","sensitive"
"QV0032-C","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","sensitive","sensitive","sensitive","resistant","sensitive"
"QV0033-C","2013","true","1135","null","Senegal","SN","Dakar","Dakar","sensitive","resistant","sensitive","sensitive","resistant","resistant"
