sample_id,year,qc_pass,study_id,region,country,country_id,site,site_id,ARTresistant,CQresistant,MQresistant,PPQresistant,PYRresistant,SDXresistant
"PC0001-C","2007","true","1015","null","Kenya","KE","Kilifi","Kilifi","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PC0003-01","2007","false","1015","null","Kenya","KE","Kilifi","Kilifi","null","null","null","null","null","null"
"PC0003-02","2007","true","1015","null","Kenya","KE","Kilifi","Kilifi","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PC0004-01","2007","true","1015","null","Kenya","KE","Kilifi","Kilifi","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PC0004-02","2007","false","1015","null","Kenya","KE","Kilifi","Kilifi","null","null","null","null","null","null"
"PC0005-Cx","2007","true","1015","null","Kenya","KE","Kilifi","Kilifi","sensitive","sensitive","sensitive","sensitive","resistant","resistant"
"PC0007-C","2007","true","1015","null","Kenya","KE","Kilifi","Kilifi","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PC0008-01","2007","true","1015","null","Kenya","KE","Kilifi","Kilifi","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PC0008-02","2007","false","1015","null","Kenya","KE","Kilifi","Kilifi","null","null","null","null","null","null"
"PC0009-C","2007","true","1015","null","Kenya","KE","Kilifi","Kilifi","sensitive","resistant","undetermined","sensitive","resistant","sensitive"
"PC0011-C","2007","true","1015","null","Kenya","KE","Kilifi","Kilifi","sensitive","sensitive","sensitive","sensitive","resistant","sensitive"
"PC0012-01","2007","false","1015","null","Kenya","KE","Kilifi","Kilifi","null","null","null","null","null","null"
"PC0012-C","2007","true","1015","null","Kenya","KE","Kilifi","Kilifi","sensitive","undetermined","sensitive","sensitive","resistant","resistant"
"PC0013-C","2007","true","1015","null","Kenya","KE","Kilifi","Kilifi","sensitive","resistant","sensitive","sensitive","resistant","resistant"
"PC0019-C","2007","true","1015","null","Kenya","KE","Kilifi","Kilifi","sensitive","sensitive","sensitive","sensitive","resistant","sensitive"
